fold,feature,feature_group,std_coef,mean_abs_shap,mean_shap,perm_mae_increase,n_val
2,humidity_bilbao_lag_168,historical_weather,-0.5512579202497069,0.47459369127569545,0.09862418888457282,0.07395814920117694,2980
2,humidity_bilbao_lag_24,historical_weather,-1.109236388141341,0.960224700061617,0.24846432404844546,0.18352863436430056,2980
2,humidity_madrid_lag_168,historical_weather,-0.3149851105368457,0.2467382493865288,-0.04027076379567744,0.022399634612379593,2980
2,humidity_madrid_lag_24,historical_weather,-1.4558831743404879,1.1482628674539377,-0.13885438714603496,0.23003858305292457,2980
2,humidity_national_mean_lag_168,weather_aggregate,2.095667627159258,1.8890887751072627,0.1593186071413692,0.5066543848962946,2980
2,humidity_national_mean_lag_24,weather_aggregate,4.847275461295887,4.39097870740089,0.06390663415088932,2.483491071690689,2980
2,humidity_seville_lag_168,historical_weather,-0.978436585834001,0.819707074181317,-0.22878676868001754,0.08478103473879539,2980
2,humidity_seville_lag_24,historical_weather,-2.360460709674006,1.9712568584178405,-0.44148840796404315,0.4478847766794978,2980
2,humidity_valencia_lag_168,historical_weather,-0.5315264014955675,0.45655872568586225,-0.020365000837605285,0.04725368058190327,2980
2,humidity_valencia_lag_24,historical_weather,-1.7174675867262044,1.472928471994414,0.006451699363858368,0.25376119362799887,2980
2,is_month_end,calendar,0.01054025473852656,0.0037221861084057277,2.1509310075611418e-07,-4.006557111946307e-05,2980
2,is_month_start,calendar,0.2443798607567082,0.086319432004335,-0.001816504885128126,0.023876257591562755,2980
2,is_weekend,calendar,0.07185558944837644,0.06459256263698797,-0.0008131051037743287,0.002875721079206528,2980
2,is_year_end,calendar,0.08611236761318808,0.004467471263357227,-0.004467471263357227,0.0,2980
2,is_year_start,calendar,0.19586820348243456,0.012453695089352615,-0.012453695089352615,0.0,2980
2,load_forecast_error_lag_24,historical_load,0.20443222502754743,0.12246386278519504,0.015169481523455283,0.005758492729939668,2980
2,month,calendar,205.30340959032193,198.23272069753128,-198.23272069753128,77.36230859420286,2980
2,month_cos,calendar,-0.5400523627453382,0.36677899912297207,0.02460499600260018,-0.010341558344380886,2980
2,month_sin,calendar,-4.300914068384596,4.839545483354141,-4.839545483354141,0.3620256998889504,2980
2,pressure_barcelona_lag_168,historical_weather,0.06628268792052922,0.0018599235601113458,-0.0018599235601113458,5.215923524204413e-07,2980
2,pressure_barcelona_lag_24,historical_weather,-0.2438105905496797,0.006841366005975045,0.006841366005975045,2.4742083173379115e-06,2980
2,pressure_bilbao_lag_168,historical_weather,0.4622038041532702,0.3173171116044257,0.0223030593952359,0.04631579391018814,2980
2,pressure_bilbao_lag_24,historical_weather,0.3940632346461925,0.2645058644062083,0.004819814515218487,0.034949474849782725,2980
2,pressure_madrid_lag_168,historical_weather,-0.12957072125970884,0.06932871417385382,-0.03942732312254971,-0.0011067963845379225,2980
2,pressure_madrid_lag_24,historical_weather,-0.5084011444181182,0.26830850671793577,-0.15087058363776717,-0.019909388115885385,2980
2,pressure_seville_lag_168,historical_weather,0.007801394538693658,0.005479390509854485,-0.0012712409654174587,-0.00023017987122653238,2980
2,pressure_seville_lag_24,historical_weather,-0.15951941906186667,0.11069722412414758,0.032664732352475905,0.007653964353925957,2980
2,pressure_valencia_lag_168,historical_weather,0.18744489152655394,0.06959324864300441,0.00706473456148458,0.012964749068514081,2980
2,pressure_valencia_lag_24,historical_weather,-0.2713331500088981,0.10080767497151988,-0.008434990547964044,-0.012101134521203427,2980
2,price_day_ahead_lag_168,historical_target,-0.583738245062746,0.47071526654782886,-0.29226363424095114,-0.02369628884546149,2980
2,price_day_ahead_lag_24,historical_target,14.378642388805535,11.387043115317582,6.885273860035263,11.138992954302253,2980
2,price_day_ahead_lag_48,historical_target,9.63180912666706,7.762570535405934,4.753524686513007,6.806652515104962,2980
2,price_max_lag24_lag48_lag168,historical_target,-1.595142449955494,1.50292955578053,-0.995921457054464,0.25487397003799117,2980
