feature,feature_group,coefficient,abs_coefficient
day_of_year_cos,calendar,0.42387751302978655,0.42387751302978655
temp_bilbao_lag_24,historical_weather,0.4233202695570979,0.4233202695570979
humidity_bilbao_lag_24,historical_weather,-0.4071121225364374,0.4071121225364374
pressure_bilbao_lag_24,historical_weather,0.38861639974406015,0.38861639974406015
generation_other_lag_24,historical_generation,-0.37064785305589215,0.37064785305589215
rain_1h_barcelona_lag_168,historical_weather,0.3583963661508929,0.3583963661508929
hour_cos,calendar,-0.33104413874453237,0.33104413874453237
dow_sin,calendar,-0.31823836754735685,0.31823836754735685
temp_madrid_lag_24,historical_weather,-0.29119010861230116,0.29119010861230116
rain_1h_bilbao_lag_168,historical_weather,0.2848706804488024,0.2848706804488024
pressure_bilbao_lag_168,historical_weather,0.27797074745907185,0.27797074745907185
generation_other_renewable_lag_24,historical_generation,0.26465218997314965,0.26465218997314965
wind_deg_sin_madrid_lag_24,historical_weather,0.2639512066100157,0.2639512066100157
wind_deg_cos_madrid_lag_24,historical_weather,0.24744359767428156,0.24744359767428156
is_year_end,calendar,-0.2369016552146855,0.2369016552146855
dow_cos,calendar,-0.22177288247120783,0.22177288247120783
pressure_barcelona_lag_24,historical_weather,-0.2141245556225455,0.2141245556225455
load_forecast_error_lag_24,historical_load,0.19499079951855214,0.19499079951855214
temp_national_mean_lag_24,weather_aggregate,0.1935904706431437,0.1935904706431437
generation_fossil_oil_lag_168,historical_generation,0.17999864338835744,0.17999864338835744
is_weekend,calendar,0.17984372910760416,0.17984372910760416
rain_1h_barcelona_lag_24,historical_weather,0.17190853129712502,0.17190853129712502
rain_1h_national_max_lag_24,weather_aggregate,-0.16962411322373325,0.16962411322373325
generation_hydro_pumped_storage_consumption_lag_168,historical_generation,-0.16391362682289745,0.16391362682289745
quarter,calendar,0.16116153660411475,0.16116153660411475
wind_deg_cos_barcelona_lag_24,historical_weather,0.15613049996736053,0.15613049996736053
rain_1h_seville_lag_168,historical_weather,0.15320041879731008,0.15320041879731008
pressure_valencia_lag_24,historical_weather,-0.15160740534575975,0.15160740534575975
rain_1h_bilbao_lag_24,historical_weather,0.151279645635774,0.151279645635774
hour,calendar,-0.1378351744323726,0.1378351744323726
temp_bilbao_lag_168,historical_weather,0.12566807236258967,0.12566807236258967
pressure_valencia_lag_168,historical_weather,0.12485528149272906,0.12485528149272906
