fold,feature,coefficient,abs_coefficient
2,temp_valencia_lag_168,0.28826720604384565,0.28826720604384565
2,generation_fossil_oil_lag_24,-0.28242769500976594,0.28242769500976594
2,total_load_actual_lag_48,0.2643007018883355,0.2643007018883355
2,pressure_barcelona_lag_24,-0.23303235603492006,0.23303235603492006
2,wind_deg_cos_madrid_lag_24,0.21926632450314484,0.21926632450314484
2,load_forecast_error_lag_24,0.21558500848599652,0.21558500848599652
2,pressure_madrid_lag_168,-0.2126519082851979,0.2126519082851979
2,pressure_valencia_lag_24,-0.21035161575762393,0.21035161575762393
2,is_month_start,0.20244614852201753,0.20244614852201753
2,generation_waste_lag_168,-0.19517449135783652,0.19517449135783652
2,renewable_forecast_total,-0.19401967207548756,0.19401967207548756
2,generation_hydro_pumped_storage_consumption_lag_168,-0.19376318368718046,0.19376318368718046
2,dow_cos,-0.18628893037020736,0.18628893037020736
2,wind_deg_sin_seville_lag_24,-0.17976761058021176,0.17976761058021176
2,wind_deg_sin_valencia_lag_168,-0.17370589700281938,0.17370589700281938
2,snow_3h_bilbao_lag_24,0.16485532165673256,0.16485532165673256
2,wind_deg_cos_seville_lag_168,0.1574782511017148,0.1574782511017148
2,is_year_start,0.15525240069300952,0.15525240069300952
2,snow_3h_bilbao_lag_168,0.1520178367197969,0.1520178367197969
2,wind_deg_cos_barcelona_lag_24,0.13995286277697022,0.13995286277697022
2,temp_madrid_lag_24,0.13815825020051184,0.13815825020051184
2,generation_fossil_oil_lag_168,0.13386361172789554,0.13386361172789554
2,dow_sin,-0.12620997472884463,0.12620997472884463
2,wind_deg_cos_bilbao_lag_24,0.12396442755199451,0.12396442755199451
2,rain_1h_seville_lag_168,0.12339620194139858,0.12339620194139858
2,rain_1h_valencia_lag_168,0.12019446548792387,0.12019446548792387
2,generation_other_lag_168,-0.11753470754150998,0.11753470754150998
2,wind_deg_cos_valencia_lag_168,0.1154879802208952,0.1154879802208952
2,rain_1h_barcelona_lag_24,0.11456070023837188,0.11456070023837188
2,rain_3h_valencia_lag_168,0.10844636790266252,0.10844636790266252
2,wind_deg_sin_barcelona_lag_24,-0.1075874232917555,0.1075874232917555
2,is_weekend,0.10443805211800916,0.10443805211800916
2,temp_bilbao_lag_24,-0.1020991762201378,0.1020991762201378
2,wind_deg_cos_valencia_lag_24,-0.0989768291856533,0.0989768291856533
2,generation_hydro_pumped_storage_consumption_lag_24,-0.09610543441750134,0.09610543441750134
2,rain_3h_bilbao_lag_24,0.09526935368097163,0.09526935368097163
2,rain_1h_madrid_lag_168,0.09325750459054391,0.09325750459054391
2,generation_other_renewable_lag_24,0.08639460386734155,0.08639460386734155
2,snow_3h_madrid_lag_24,-0.08483846640710817,0.08483846640710817
2,wind_deg_sin_barcelona_lag_168,0.08472346214657589,0.08472346214657589
2,is_year_end,0.08242894151421022,0.08242894151421022
2,rain_3h_bilbao_lag_168,0.07602098969780365,0.07602098969780365
2,pressure_barcelona_lag_168,0.07440166676795806,0.07440166676795806
2,generation_fossil_brown_coal_lignite_lag_24,-0.06993652448057272,0.06993652448057272
2,pressure_seville_lag_168,-0.06893099211635859,0.06893099211635859
2,is_month_end,0.06164470002495334,0.06164470002495334
2,wind_deg_cos_barcelona_lag_168,-0.06007682191773388,0.06007682191773388
2,snow_3h_valencia_lag_24,0.05526917864549161,0.05526917864549161
2,rain_3h_valencia_lag_24,0.05339117160874138,0.05339117160874138
2,rain_3h_madrid_lag_168,0.05221423297651186,0.05221423297651186
2,snow_3h_madrid_lag_168,-0.05060284978709038,0.05060284978709038
2,rain_1h_madrid_lag_24,0.04825981805142963,0.04825981805142963
2,rain_1h_seville_lag_24,0.04574920453326105,0.04574920453326105
2,rain_1h_valencia_lag_24,-0.04471788004985496,0.04471788004985496
2,rain_3h_seville_lag_168,-0.039235107216716754,0.039235107216716754
2,wind_deg_sin_bilbao_lag_168,-0.03716465182611941,0.03716465182611941
2,rain_3h_madrid_lag_24,0.03537791747806917,0.03537791747806917
2,day_of_year_sin,0.03488384307938581,0.03488384307938581
2,pressure_valencia_lag_168,0.03486537901147436,0.03486537901147436
2,rain_3h_barcelona_lag_24,0.03363734948955655,0.03363734948955655
2,rain_3h_barcelona_lag_168,-0.030350483087578376,0.030350483087578376
2,wind_deg_sin_seville_lag_168,-0.028639178363457668,0.028639178363457668
2,wind_deg_sin_bilbao_lag_24,-0.02768245217464722,0.02768245217464722
2,snow_3h_valencia_lag_168,-0.02686511258107045,0.02686511258107045
2,wind_deg_sin_valencia_lag_24,-0.023851509441494646,0.023851509441494646
2,rain_1h_bilbao_lag_24,0.02149314365205475,0.02149314365205475
2,wind_deg_sin_madrid_lag_168,0.01747619449644267,0.01747619449644267
2,wind_deg_cos_madrid_lag_168,0.014904936827165602,0.014904936827165602
2,wind_deg_cos_bilbao_lag_168,-0.00958852746661336,0.00958852746661336
2,hour,-0.0077834199045026635,0.0077834199045026635
2,rain_3h_seville_lag_24,0.004592827144307454,0.004592827144307454
2,rain_1h_national_max_lag_24,-0.002428930336153959,0.002428930336153959
