model,fold,n_rounds,reg_lambda,learning_rate,feature_selector,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
gblin_3e-03_eta0p3_shuffle,2,10,0.003,0.3,shuffle,7.80208779785617,9.803671994448148,0.5663504540241716,16.291808757855655,-6.4491329964631365,-6.4491329964631365,7.383811222441793
gblin_3e-03_eta1p0_cyclic,2,32,0.003,1.0,cyclic,7.675115903700757,9.255535146045444,0.613486720422508,16.500766676626384,-6.592739347509089,-6.592739347509089,6.496208027417832
gblin_3e-03_eta1p0_shuffle,2,10,0.003,1.0,shuffle,7.315955900806709,9.025873406830934,0.6324301956722033,15.626362321156067,-6.18952561675462,-6.18952561675462,6.569335080179437
gblin_1e-02_eta0p1_cyclic,2,10,0.01,0.1,cyclic,9.002094012446051,11.422119813007756,0.4113532183041577,18.659930735142485,-7.585596562097537,-7.585596562097537,8.539528430762344
gblin_1e-02_eta0p1_shuffle,2,11,0.01,0.1,shuffle,8.771710597172678,11.170442319459704,0.43700817090554,18.127189384785062,-7.16856342932682,-7.16856342932682,8.566824380836486
gblin_1e-02_eta0p3_cyclic,2,10,0.01,0.3,cyclic,8.357714334359903,10.30666720556998,0.5207105631560753,17.62809803298562,-7.2081162942591925,-7.2081162942591925,7.366847926678465
gblin_1e-02_eta0p3_shuffle,2,10,0.01,0.3,shuffle,7.82341626662696,9.833242452698448,0.5637305061310044,16.326724316775863,-6.467574631633375,-6.467574631633375,7.4069653379642215
gblin_1e-02_eta1p0_cyclic,2,26,0.01,1.0,cyclic,7.707162290905946,9.311456504813439,0.6088020331092834,16.53920688197526,-6.624755966608956,-6.624755966608956,6.543380672397987
gblin_1e-02_eta1p0_shuffle,2,10,0.01,1.0,shuffle,7.381529142853397,9.104565480404766,0.625992941495055,15.74078337036562,-6.261291814356041,-6.261291814356041,6.609791025626763
gblin_1e-06_eta0p1_cyclic,3,10,1e-06,0.1,cyclic,4.8999370961155675,6.477347656001036,0.34057805089606075,9.485617579149883,0.18401826292266396,0.18401826292266396,6.474733194164299
gblin_1e-06_eta0p1_shuffle,3,10,1e-06,0.1,shuffle,4.9919017427042,6.560407588716451,0.32355790091549874,9.62295596347082,0.4855111849431983,0.4855111849431983,6.542417490452857
gblin_1e-06_eta0p3_cyclic,3,171,1e-06,0.3,cyclic,4.939025448322776,6.403655925965605,0.35549697268983227,9.747945582508267,0.05034932179724529,0.05034932179724529,6.403457984866377
gblin_1e-06_eta0p3_shuffle,3,54,1e-06,0.3,shuffle,5.03243459364345,6.479534795139924,0.3401326553036178,9.942041779732183,-0.002347748253178223,-0.002347748253178223,6.479534369806762
gblin_1e-06_eta1p0_cyclic,3,71,1e-06,1.0,cyclic,4.8936659667108815,6.349006098689343,0.3664506168318751,9.685528943928148,-0.07671434752455646,-0.07671434752455646,6.348542616229205
gblin_1e-06_eta1p0_shuffle,3,11,1e-06,1.0,shuffle,4.985814389289925,6.474843480854889,0.3410878240135323,9.872553088839421,-0.33506661822995004,-0.33506661822995004,6.46616798907336
gblin_1e-05_eta0p1_cyclic,3,10,1e-05,0.1,cyclic,4.899933234710335,6.477348158486243,0.34057794858573076,9.485608822129947,0.18400965777950304,0.18400965777950304,6.474733941413268
gblin_1e-05_eta0p1_shuffle,3,10,1e-05,0.1,shuffle,4.991900014509414,6.56040917097887,0.32355757462204005,9.62295158164745,0.48550756923466964,0.48550756923466964,6.542419345385888
gblin_1e-05_eta0p3_cyclic,3,169,1e-05,0.3,cyclic,4.939946180085775,6.404600493663217,0.35530682454749407,9.749474337485937,0.051306847921356855,0.051306847921356855,6.404394982415396
gblin_1e-05_eta0p3_shuffle,3,54,1e-05,0.3,shuffle,5.032419054606584,6.4795062921708375,0.34013846070099696,9.941997402696174,-0.002310321734920009,-0.002310321734920009,6.479505880288632
gblin_1e-05_eta1p0_cyclic,3,71,1e-05,1.0,cyclic,4.893689606060962,6.349007520698129,0.3664503330353638,9.685552723598605,-0.07663603809846792,-0.07663603809846792,6.348544984131874
gblin_1e-05_eta1p0_shuffle,3,11,1e-05,1.0,shuffle,4.985798870087949,6.474806998007622,0.34109524934346513,9.872504472733779,-0.33497555752881847,-0.33497555752881847,6.466136175283253
gblin_1e-04_eta0p1_cyclic,3,10,0.0001,0.1,cyclic,4.899907016824532,6.477360026401137,0.34057553217340775,9.48553898513598,0.18399816122122248,0.18399816122122248,6.474746140837226
gblin_1e-04_eta0p1_shuffle,3,10,0.0001,0.1,shuffle,4.991875998936256,6.560420990497004,0.32355513720373064,9.622892890523357,0.4854558590361434,0.4854558590361434,6.542435034563291
gblin_1e-04_eta0p3_cyclic,3,171,0.0001,0.3,cyclic,4.938987964219352,6.403389678173043,0.35555056518231165,9.747708702355506,0.05074117092988679,0.05074117092988679,6.40318863568033
gblin_1e-04_eta0p3_shuffle,3,54,0.0001,0.3,shuffle,5.03224995633253,6.479212782991609,0.34019824026552237,9.941531356595174,-0.001991482273678828,-0.001991482273678828,6.479212476935775
gblin_1e-04_eta1p0_cyclic,3,72,0.0001,1.0,cyclic,4.892639115265415,6.347550630833853,0.3667410575886878,9.683866407150758,-0.07899553265038921,-0.07899553265038921,6.347059060448432
gblin_1e-04_eta1p0_shuffle,3,11,0.0001,1.0,shuffle,4.985619042955442,6.47442051100758,0.3411739082193478,9.871965149768391,-0.33408111339365615,-0.33408111339365615,6.465795447045113
gblin_1e-03_eta0p1_cyclic,3,10,0.001,0.1,cyclic,4.899642506407155,6.477475965656619,0.34055192568380155,9.484839316741741,0.18385065618116408,0.18385065618116408,6.474866316911949
gblin_1e-03_eta0p1_shuffle,3,10,0.001,0.1,shuffle,4.9916437522071755,6.560538248265665,0.323530956095781,9.622329498071702,0.4849451739577711,0.4849451739577711,6.542590487353751
gblin_1e-03_eta0p3_cyclic,3,167,0.001,0.3,cyclic,4.940583662834795,6.402928688152109,0.35564335168433014,9.748865353559664,0.05592954119273148,0.05592954119273148,6.402684411399898
gblin_1e-03_eta0p3_shuffle,3,54,0.001,0.3,shuffle,5.030614839596702,6.476312156639876,0.34078887065223207,9.936971031815741,0.0012242000289349917,0.0012242000289349917,6.476312040936241
gblin_1e-03_eta1p0_cyclic,3,71,0.001,1.0,cyclic,4.8961835086109735,6.34924705945978,0.3664025263301396,9.687898047189712,-0.0682250471604585,-0.0682250471604585,6.348880496985167
gblin_1e-03_eta1p0_shuffle,3,11,0.001,1.0,shuffle,4.9838469843974815,6.470631721646486,0.3419447642107557,9.866663406743225,-0.32534978961912575,-0.32534978961912575,6.462447090040471
gblin_3e-03_eta0p1_cyclic,3,10,0.003,0.1,cyclic,4.899053400110694,6.477732274475421,0.34049973692943825,9.483284820442767,0.18350948903193545,0.18350948903193545,6.475132406925417
